title,author,first_name,last_name,genre,series,description,publish_date,publisher,ean_isbn,upc_isbn,pages,ddc,cover_style,sprayed_edges,special_ed,first_ed,signed,location
Star Wars Galaxy's Edge Cookbook,"Insight Editions ((various roles)), Chelsea Monroe-Cassel, Marc Sumerak",Insight,),,,"Inspired by the cuisine from the exciting new Star Wars: Galaxy's Edge themed lands at Walt Disney World and Disneyland, Star Wars: Galaxy's Edge: The Official Black Spire Outpost Cookbook is the ultimate source for creating out-of-this-world meals and treats from a galaxy far, far away. Join intergalactic gourmet Strono ""Cookie"" Tuggs for a mouthwatering journey into the cuisine of Black Spire Outpost and beyond. From the swamps of Dagobah to the forests of Endor and the deserts of Jakku, chef extraordinaire Strono ""Cookie"" Tuggs has traveled countless light-years to compile the galaxy's most delicious recipes into this unique volume. With Cookie as your guide, journey to the streets of Black Spire Outpost and discover delectable delicacies such as Braised Shaak Roast, Nerf Kebabs, Mustafarian Lava Buns, Huttese Slime Pods, Spicy Mandalorian Stew, and much more. Featuring seventy recipes--including sides, sauces, soups, breads, main courses, desserts, and drinks--this comprehensive cookbook is a hyperspace route to the tastiest treats in the galaxy, bringing a little taste of Black Spire Outpost right into your own home.",2019-11-05,Insight Editions,9781683837985,1683837983,176,,hardcover,0,0,1,0,
The Stardust Thief,Chelsea Abdullah,Chelsea,Abdullah,Fantasy / Mythology / YA,"The Sandsea Trilogy, Book 1","Loulie al-Nazari is the Midnight Merchant: a criminal who, with the help of her jinn bodyguard, hunts and sells illegal magic. When she saves the life of a cowardly prince, she draws the attention of his powerful father, the sultan, who blackmails her into finding an ancient lamp that has the power to revive the barren land—at the cost of sacrificing all jinn.
With no choice but to obey or be executed, Loulie journeys with the sultan’s oldest son to find the artifact. Aided by her bodyguard, who has secrets of his own, they must survive ghoul attacks, outwit a vengeful jinn queen, and confront a malicious killer from Loulie’s past. And, in a world where story is reality and illusion is truth, Loulie will discover that everything—her enemy, her magic, even her own past—is not what it seems, and she must decide who she will become in this new reality.
Inspired by stories from One Thousand and One Nights, The Stardust Thief weaves the gripping tale of a legendary smuggler, a cowardly prince, and a dangerous quest across the desert to find a legendary, magical lamp.
Yet happily ever after doesn’t come easily. As soon as Han and Leia depart their idyllic ceremony for their honeymoon, they find themselves on the grandest and most glamorous stage of the Halcyon, a luxury vessel on a very public journey to the most wondrous worlds in the galaxy. Their marriage, and the peace and prosperity it represents, are a lightning rod for all—including Imperial remnants still clinging to power.
Facing their most desperate hour, the soldiers of the Empire have dispersed across the galaxy, retrenching on isolated planets vulnerable to their influence. As the Halcyon travels from world to world, one thing becomes abundantly The war is not over. But as danger draws closer, Han and Leia find that they fight their best battles not alone, but as husband and wife.",2022-01-01,Orbit,9780356518305,356518302,468,FIC ABD,hardcover,1,1,1,1,
The Night Before the Nutcracker (American Ballet Theatre),"John Robert Allman, Julianna Swaney (Illustrator)",John,Allman,,,"Get a front-row seat and experience the excitement of opening night as young dancers prepare for a performance of The Nutcracker. This festive holiday picture book, created in partnership with American Ballet Theatre, is a perfect gift for young readers and dance fans. 'Twas the night before The Nutcracker and, sleepless in their beds, these budding ballet dancers are rehearsing in their heads. Children who dream of dancing in The Nutcracker will love this magical illustrated holiday story, told in the tradition of ""The Night Before Christmas."" Four young girls and boys experience the thrills of auditions, rehearsals, costume fittings, and finally the big event: opening night! It's a behind-the-scenes peek that will delight young dancers. An afterword with original costume illustrations by Tony Award winner Richard Hudson makes this keepsake picture book both aspirational and informative.",2022-09-06,Random House Children's Books,9780593180914,593180917,40,,hardcover,0,0,1,0,
The Brothers Grimm Cookbook,Robert Tuesley Anderson,Robert,Anderson,,,"This delicious collection of more than 50 recipes is inspired by the Brothers Grimm's fairy tales. The fairy tales of the Brothers Grimm are full of memorable characters, dark settings, life lessons--and delicious food. The Brothers Grimm Cookbook is a collection of more than 50 recipes inspired by the short stories of Jacob and Wilhelm Grimm, which were originally published in the early 19th century and continue to fascinate readers today. From starting your day with a plate of Clever Hans's Sticky Bacon and Onion Pan Fry to celebrating the holidays with Hansel and Gretel's Gingerbread House, there's a recipe for every meal and occasion in this fascinating cookbook. Scholarly essays that examine the role of specific foods in the fairy tales accompany the recipes, allowing readers to immerse themselves even more deeply in the compelling world of the Brothers Grimm.",2022-08-30,Printers Row Publishing Group,9781667200811,166720081X,160,,hardcover,0,0,0,0,
Bookshops & Bonedust,Travis Baldree,Travis,Baldree,Fantasy / Romance / Queer,"Legends & Lattes, Book 0","""Viv's career with the notorious mercenary company Rackam's Ravens isn't going as planned. Wounded during the hunt for a powerful necromancer, she's packed off against her will to recuperate in the sleepy beach town of Murk--so far from the action that she worries she'll never be able to return to it. What's a thwarted soldier of fortune to do? Spending her hours at a beleaguered bookshop in the company of its foul-mouthed proprietor is the last thing Viv would have predicted, but it may be both exactly what she needs and the seed of changes she couldn't possibly imagine. Still, adventure isn't all that far away. A suspicious traveler in gray, a gnome with a chip on her shoulder, a summer fling, and an improbable number of skeletons prove Murk to be more eventful than Viv could have ever expected. ""Take a break from epic battles and saving the world.""--",2023-11-07,Tor Books,9781250886101,1250886104,288,FIC BAL,paperback,0,0,1,0,
Legends & Lattes,Travis Baldree,Travis,Baldree,Fantasy / Romance / Queer,"Legends & Lattes, Book 1","""The much-beloved BookTok sensation from Travis Baldree, Legends &amp; Lattes is a novel of high fantasy and low stakes. *The new paperback edition will include a very special, never-before-seen bonus story, 'Pages to Fill.'* Come take a load off at Viv's cafe, the first &amp; only coffee shop in Thune. Grand opening! Worn out after decades of packing steel and raising hell, Viv, the orc barbarian, cashes out of the warrior's life with one final score. A forgotten legend, a fabled artifact, and an unreasonable amount of hope lead her to the streets of Thune, where she plans to open the first coffee shop the city has ever seen. However, her dreams of a fresh start filling mugs instead of swinging swords are hardly a sure bet. Old frenemies and Thune's shady underbelly may just upset her plans. To finally build something that will last, Viv will need some new partners, and a different kind of resolve. ""Take a break from epic battles and saving the world. Legends &amp; Lattes is a wholesome, cozy novel that feels like a warm hug. This is my new comfort read.""-Genevieve Gornichec, author of The Witch's Heart""--",2022-11-08,Tor Books,9781250886088,1250886082,304,FIC BAL,paperback,0,0,1,0,
Star Wars Extraordinary Droids,Simon Beecroft,Simon,Beecroft,,,"Find the droids you know and love and discover new favorites along the way. This Star Wars guide with a twist showcases a world of droids in close-up detail. Arranged from smallest to biggest, more than 50 droids of the galaxy are revealed with stunning photography and gorgeous artwork. The evocative descriptions will delight children and let them discover amazing droid facts, such as what tools R2-D2 uses and why GNK droids make a ""gonk gonk"" noise! Each page features fun droid facts and detailed close-up photographs for children to pore over, including firm favorites such as C-3PO and BB-8 as well as more unusual ones such as Professor Huyang, police droids, tiny probe droids, and new The Rise of Skywalker droid D-O. Star Wars Extraordinary Droids is a perfect gift for children who can't get enough of a galaxy far, far away. The book covers droids small (quiet, little mouse droids) and big (vulture droid starfighters), kind (memoir-writing PZ-4CO) and scary (droidekas), and will be a treasured favorite book to keep. © &amp; TM 2020 LUCASFILM LTD.",2020-04-07,"Dorling Kindersley Publishing, Incorporated",9781465490063,146549006X,128,,hardcover,0,0,0,0,
The Accomplisht Cook,"Marcus Bell (Editor), Robert May, Alan Davidson (Foreword by), Tom Jaine (Editor)",Marcus,Bell,,,"The Accomplisht Cook was first published in 1660 and this is a facsimile of the 1685 edition. Robert May was cook to the aristocracy of Royalist England; born in the year of the Armada; trained by his own father, then by powerful patrons in Paris; before apprenticeship in London with the cook to the Star Chamber. In the course of a long life, working almost exclusively for fellow Catholics and Royalists, he absorbed all the most fashionable tendencies at large in the kitchens of England.",2012-02-14,Prospect Books,9781903018712,1903018714,544,,paperback,0,0,0,0,
Two Dark Reigns,Kendare Blake,Kendare,Blake,,"Three Dark Crown Series, Book 3",,,,,,,,hardcover,0,0,1,1,
Three Dark Crowns,Kendare Blake,Kendare,Blake,,"Three Dark Crown Series, Book 1",,,,,,,,hardcover,0,0,1,1,
